Title,Year,Genre,Rated,Plot
So Fine,1981,Comedy,R,"While trying to get his father out of a financial jam, a man comes up with an idea that turns into an unexpected overnight financial fashion success - the bottomless pants."
Sharky's Machine,1981,"Action, Crime, Drama",R,"Tom Sharky is a narcotics cop in Atlanta who's demoted to vice after a botched bust. In the depths of this lowly division, while investigating a high-dollar prostitution ring, Sharky stumbles across a mob murder with government ties, and responds by assembling his downtrodden fellow investigators (Sharky's ""machine"") to find the leaders and bring them to justice before they kill off all his partners and witnesses, including Sharky himself."
Road Games,1981,"Mystery, Thriller",PG,"Pat Quid is driving a semi across Australia. On the way he encounters various other travellers, and the occasional hitchhikers repeatedly as they're traveling the same road. A favorite pastime of Pat is to play games to pass the time on the journey. (Such as to make up backgrounds of the other people on the road.) Pamela is one hitchhiker he picks up. But when she disappears, he suspects that the driver of a van who has been acting a little strange, (Smith or Jones) maybe the serial killer mentioned on the radio. But his pursuit of the van driver brings him to the attention of the police, who begin to suspect him."
Ragtime,1981,Drama,PG,"The story runs in the 1910's New York. Coalhouse Walker Jr. is a black piano player. He has won fame and fortune playing with a jazz band. Some white men do not like this situation, and one day they assault him and spoil his brand new car. Walker tries by all means to get justice, without an answer..."
Raggedy Man,1981,Drama,R,"It's 1944 in the small town of Gregory, Texas. Divorcée Nita Longley has been brought into the town by the telephone company to work as its switchboard operator, a job which requires her to be at the switchboard day and night. She was originally told by her boss Mr. Rigby that this job would only be a stepping-stone to a more lucrative job with regular working hours, which Mr. Rigby seems to be reneging on since he has now told her that her position is frozen due to the war. As such, Nita feels trapped by this situation. Nita lives in the telephone switchboard office building with her two sons, adolescent Harry and infant Henry. Because of her marital status, many of the townsfolk, especially the men, view Nita either with contempt or as a loose woman. One evening, Teddy Roebuck, a sailor on a four day furlough who is hitchhiking back to his home in Ardmore, Oklahoma, stops by to make a telephone call. When he learns that the reason for his trip home no longer exists, Teddy decides to stay in Gregory instead. Teddy strikes up a friendship with Nita and her two boys, which blossoms into love. The appearance of this stranger does not sit well with locals Calvin and Arnold, who had plans of having their way with loose Nita, who earlier rebuked their advances. The town's unidentified disfigured man, who Nita fears, may ultimately provide her with the ability to move on with her life."
The Professional,1981,"Action, Crime, Drama",R,"French secret agent Joss Baumont is sent to one of the African countries to kill their president Njala. However, at the last moment the political situation changes and the French secret service turns him in to the African authorities, and he is sentenced to a long-term imprisonment. After the daring escape he returns to France and deliberately informs his former chiefs of his presence promising them to kill Njala who has just arrived to the country with the official visit."
Polyester,1981,Comedy,R,"Francine Fishpaw is an upper middle class suburban housewife in Baltimore. Unfortunately for this ""good Christian woman"", the money to support her lifestyle comes from her husband's porno theater, the neighbors are protesting, her son is the notorious ""Baltimore Stomper"", her daughter is knocked up by a local hoodlum, and her husband is having an affair with his secretary."
Piranha Part Two: The Spawning,1981,"Drama, Horror, Romance",R,"A sunken US supply ship off a Caribbean island resort is the focus for a series of mysterious piranha attacks. Investigating the death of one of her son's companions after a scuba-diving trip, Anne Kimbrough breaks into the morgue with holidaymaker Tyler Sherman, only to discover that the fish have wings and can fly. But the hotel manager refuses to call off the annual fish fry on the beach, with inevitable consequences..."
Pennies from Heaven,1981,"Drama, Musical, Romance",R,"In Chicago during the 1930s depression, sheet music salesman Arthur Parker is trying to sell his products, but it's not easy to convince unwilling music store owners to buy them. Although he's already married to the somewhat drab Joan, when he meets school teacher Eileen in a music store, he falls in love with her."
Neighbors,1981,Comedy,R,"One man's quiet suburban life takes a sickening lurch for the worse when a young couple move into the deserted house next door. From the word go it is obvious these are not the quiet professional types who *should* be living in such a nice street. As more and more unbelievable events unfold, our hero starts to question his own sanity... and those of his family."
My Dinner with Andre,1981,"Biography, Comedy, Drama",PG,"Wallace Shawn and Andre Gregory, apparently playing themselves, share their lives over the course of an evening meal at a restaurant. Gregory, a theater director from New York, is the more talkative of the pair. He relates to Shawn his tales of dropping out, traveling around the world, and experiencing the variety of ways people live, such as a monk who could balance his entire weight on his fingertips. Shawn listens avidly, but questions the value of Gregory's seeming abandonment of the pragmatic aspects of life."
